node_id,window_start,total_flows,total_anomalous_flows,high_conf_anomalous_flows,anomaly_ratio,avg_anomaly_score,max_anomaly_score,outbound_flows,outbound_anomalous_flows,outbound_high_conf_anomalous_flows,outbound_anomaly_ratio,inbound_flows,inbound_anomalous_flows,inbound_high_conf_anomalous_flows,inbound_anomaly_ratio,outbound_unique_targets,inbound_unique_sources,outbound_unique_target_ports,small_flow_ratio,single_packet_ratio,role_evidence_support,attacker_score,victim_score,compromised_score,node_role,top_predicted_labels
172.16.30.30,2026-05-10 09:00:00,132,122,122,0.9242424242424242,0.9167654304848486,0.9999996,50,48,48,0.96,82,74,74,0.9024390243902439,10,10,7,0.4015151515151515,0.0,1.0,0.8967439428125,0.870046439080422,0.9347715497867701,suspected_compromised_host,Bot:35; Infiltration:30; DDoS:22
203.119.144.80,2026-05-10 09:00:00,27,25,25,0.9259259259259259,0.9177995367392592,0.99999845,17,16,16,0.9411764705882353,10,9,9,0.9,3,2,6,0.5555555555555556,0.0,0.45,0.7497913046415442,0.7383123211111112,0.7971350693700001,uncertain,DoS Slowhttptest:5; DoS slowloris:4; Bot:4
172.16.30.31,2026-05-10 09:00:00,102,80,80,0.7843137254901961,0.7896306495657842,0.9999997,50,32,32,0.64,52,48,48,0.9230769230769231,10,2,10,0.4803921568627451,0.0,1.0,0.784358257265625,0.8715941914182692,0.7962704074894853,suspected_compromised_host,DDoS:20; SSH-Patator:19; PortScan:16
151.101.1.69,2026-05-10 09:00:00,27,23,23,0.8518518518518519,0.8487940963214816,0.9999985,17,14,14,0.8235294117647058,10,9,9,0.9,3,2,5,0.5555555555555556,0.0,0.45,0.7121429843487396,0.7408417941666668,0.7421277179801526,uncertain,DoS slowloris:5; DoS Slowhttptest:4; Infiltration:4
104.16.132.229,2026-05-10 09:00:00,27,23,23,0.8518518518518519,0.8413386972296298,0.9999985,17,14,14,0.8235294117647058,10,9,9,0.9,3,2,5,0.48148148148148145,0.0,0.45,0.7116750618487396,0.739315696388889,0.7402638682071896,uncertain,DoS Slowhttptest:5; DoS slowloris:4; Infiltration:4
8.8.8.8,2026-05-10 09:00:00,27,23,23,0.8518518518518519,0.8658732531362963,0.9999982,17,15,15,0.8823529411764706,10,8,8,0.8,3,2,6,0.3333333333333333,0.0,0.45,0.734259783637255,0.7053173896875001,0.7393386836544444,uncertain,DoS Slowhttptest:5; DoS slowloris:4; Infiltration:4
114.114.114.114,2026-05-10 09:00:00,27,23,23,0.8518518518518519,0.8441936660222223,0.9999982,17,15,15,0.8823529411764706,10,8,8,0.8,3,2,5,0.37037037037037035,0.0,0.45,0.7329171504705884,0.7036945018750002,0.733918786875926,uncertain,DoS Slowhttptest:5; DoS slowloris:4; Infiltration:4
61.135.169.121,2026-05-10 09:00:00,27,22,22,0.8148148148148148,0.8110074330592594,0.9999985,17,14,14,0.8235294117647058,10,8,8,0.8,3,2,5,0.37037037037037035,0.0,0.45,0.7124391998844538,0.7042222959375001,0.7182148212277779,uncertain,DoS Slowhttptest:5; DoS slowloris:4; Infiltration:4
23.45.119.216,2026-05-10 09:00:00,27,22,22,0.8148148148148148,0.7753398098055555,0.9999982,17,14,14,0.8235294117647058,10,8,8,0.8,3,2,6,0.5555555555555556,0.0,0.45,0.7030322393487395,0.6895288937500001,0.7092979154143519,uncertain,DoS Slowhttptest:4; DoS slowloris:4; DDoS:4
52.84.217.72,2026-05-10 09:00:00,27,21,21,0.7777777777777778,0.8149135815762961,0.9999984,17,14,14,0.8235294117647058,10,7,7,0.7,3,2,5,0.4444444444444444,0.0,0.45,0.7121733816701681,0.6690970821428571,0.6817839509496296,uncertain,DoS slowloris:5; DoS Slowhttptest:4; Bot:4
172.16.10.10,2026-05-10 09:00:00,122,119,119,0.9754098360655737,0.9675358430992623,0.9999977,122,119,119,0.9754098360655737,0,0,0,0.0,4,0,28,0.4918032786885246,0.0,1.0,0.8914786454136245,0.0,0.5619659279879303,suspected_attacker,DDoS:82; PortScan:25; DoS slowloris:5
